week_end,jurisdiction,rsv_pct,rsv_pct_smoothed,covid_pct,flu_pct,combined_pct,season,in_fixed_window,state_abbrev,hhs_region,is_southeast,is_comparator
2023-07-29,Alaska,0.0,0.0,1.97,0.21,2.16,2023-2024,False,AK,10,False,False
2023-07-29,Alabama,0.01,0.03,1.62,0.22,1.84,2023-2024,False,AL,4,True,False
2023-07-29,Connecticut,0.0,0.0,0.75,0.05,0.81,2023-2024,False,CT,1,False,False
2023-07-29,Colorado,0.02,0.01,0.63,0.05,0.7,2023-2024,False,CO,8,False,False
2023-07-29,Oklahoma,0.01,0.01,0.63,0.05,0.7,2023-2024,False,OK,6,False,False
2023-07-29,Ohio,0.01,0.0,0.52,0.04,0.58,2023-2024,False,OH,5,False,False
2023-07-29,Minnesota,0.01,0.01,0.64,0.06,0.7,2023-2024,False,MN,5,False,True
2023-07-29,Massachusetts,0.01,0.01,0.85,0.05,0.9,2023-2024,False,MA,1,False,False
2023-07-29,Maryland,0.02,0.02,0.93,0.07,1.02,2023-2024,False,MD,3,False,False
2023-07-29,Arkansas,0.03,0.03,0.57,0.09,0.67,2023-2024,False,AR,6,True,False
2023-07-29,Georgia,0.04,0.03,0.97,0.16,1.15,2023-2024,False,GA,4,True,False
2023-07-29,Maine,0.0,0.0,0.71,0.04,0.74,2023-2024,False,ME,1,False,False
2023-07-29,Wyoming,0.0,0.0,0.63,0.22,0.86,2023-2024,False,WY,8,False,False
2023-07-29,Tennessee,0.05,0.03,1.03,0.17,1.23,2023-2024,False,TN,4,True,False
2023-07-29,South Dakota,0.0,0.0,0.2,0.0,,2023-2024,False,SD,8,False,False
2023-07-29,Mississippi,0.05,0.04,1.62,0.27,1.91,2023-2024,False,MS,4,True,False
2023-07-29,Nevada,0.0,0.01,0.86,0.1,0.95,2023-2024,False,NV,9,False,False
2023-07-29,South Carolina,0.01,0.01,1.31,0.15,1.46,2023-2024,False,SC,4,True,False
2023-07-29,Washington,0.01,0.01,1.22,0.06,1.29,2023-2024,False,WA,10,False,False
2023-07-29,Wisconsin,0.01,0.01,0.44,0.03,0.47,2023-2024,False,WI,5,False,False
2023-07-29,North Dakota,0.02,0.02,0.53,0.0,0.55,2023-2024,False,ND,8,False,False
2023-07-29,New York,0.01,0.01,0.67,0.05,0.72,2023-2024,False,NY,2,False,True
2023-07-29,West Virginia,0.02,0.02,0.46,0.06,0.53,2023-2024,False,WV,3,False,False
2023-07-29,Virginia,0.02,0.02,0.89,0.12,1.02,2023-2024,False,VA,3,False,False
2023-07-29,Utah,0.0,0.01,0.72,0.06,0.78,2023-2024,False,UT,8,False,False
2023-07-29,Texas,0.08,0.07,1.28,0.21,1.55,2023-2024,False,TX,6,False,False
2023-07-29,Oregon,0.0,0.0,1.12,0.07,1.19,2023-2024,False,OR,10,False,False
2023-07-29,Arizona,0.02,0.01,0.96,0.14,1.11,2023-2024,False,AZ,9,False,False
